Dell XPS Core i7 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/4 GB Graphics) XPS 9500 Laptop,208346,,
HP 14s Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-DR1010TU Thin and Light Laptop,69990,12 Ratings & 1 Reviews,4.6
Dell G3 Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650/120 ...,85990,17 Ratings & 3 Reviews,4.5
Dell Inspiron Core i3 10th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Inspiron 5491 2 in 1 Lapto...,55990,79 Ratings & 11 Reviews,4.4
HP 14s Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 14S-ER0002TU Thin and Light Laptop  with inb...,39990,342 Ratings & 72 Reviews,3.8
HP Envy x360 Ryzen 5 Hexa Core 4500U - (8 GB/256 GB SSD/Windows 10 Home) 13-ay0044AU 2 in 1 Laptop,69990,71 Ratings & 16 Reviews,4.5
HP 15s Ryzen 7 Quad Core 3700U - (8 GB/512 GB SSD/Windows 10 Home) 15s-eq0132AU Thin and Light Laptop,59190,98 Ratings & 18 Reviews,4.4
Lenovo IdeaPad Gaming 3i Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,69990,395 Ratings & 71 Reviews,4.4
Lenovo Ideapad S145 Core i3 8th Gen - (4 GB/1 TB HDD/DOS) S145-15IKB Laptop,35990,555 Ratings & 70 Reviews,4.1
Dell Vostro Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Vostro 3491 Thin and Light Laptop,36890,2739 Ratings & 326 Reviews,4
Lenovo Ideapad S145 APU Dual Core A6 A6-9225 - (4 GB/1 TB HDD/Windows 10 Home) S145-15AST Thin and Lig...,24189,3427 Ratings & 533 Reviews,4
Dell Vostro Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Vostro 3491 Thin and Light Laptop,35990,1213 Ratings & 173 Reviews,4.2
Dell Vostro Core i3 10th Gen - (4 GB/1 TB HDD/Linux) Vostro 3491 Thin and Light Laptop,30990,230 Ratings & 19 Reviews,4.1
Lenovo Ideapad 3 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 14IIL05 Thin and Light Laptop,35990,869 Ratings & 119 Reviews,3.8
