,Restaurant_name,Reviews,Trustscore,Zip_code,City,Checkout
69,Bangbop,5,4,20017,Washington,https://trustpilot.com/review/bangbop.com
70,Nationwide Cater ,4,4,10314,Staten Island,https://trustpilot.com/review/nwcater.com
71,A Chef of Your Own Fresh Crafted Cuisine,3,4,80525,Fort Collins,https://trustpilot.com/review/ilovegreatfood.com
72,Pittman & Davis,3768,3.9,78552,Harlingen,https://trustpilot.com/review/www.pittmandavis.com
73,Ablekitchen,14,3.9,,,https://trustpilot.com/review/www.ablekitchen.com
74,Edwin Mills,9,3.9,91105,Pasadena,https://trustpilot.com/review/edwinmills.com
75,OKelleys Sports Bar & Grill,7,3.9,85202,Mesa,https://trustpilot.com/review/okelleysbar.com
76,FlexPro Meals,408,3.8,64110,Kansas City,https://trustpilot.com/review/flexpromeals.com
77,Ministeriet,14,3.8,,,https://trustpilot.com/review/www.ministeriet.org
78,Aurora Banquet Hall,2,3.8,91042,Los Angeles,https://trustpilot.com/review/www.aurorabanquethall.com
79,Marley Spoon,2241,3.7,11101,Long Island City,https://trustpilot.com/review/marleyspoon.com
80,SpoonRocket,3,3.7,,,https://trustpilot.com/review/spoonrocket.com
81,Cottage Inn Pizza,3,3.7,,,https://trustpilot.com/review/cottageinn.com
82,Favorite Indian Restaurant,1,3.7,94544,hayward,https://trustpilot.com/review/www.favoriteindia.com
83,Hyderabad Place Indian cuisine,1,3.7,94538,Fremont,https://trustpilot.com/review/hyderabadplace.com
84,Delivery2you,1,3.7,60035,Highland Park,https://trustpilot.com/review/delivery2you.com
85,Christinis Ristorante Italiano,1,3.7,32819,Orlando,https://trustpilot.com/review/christinis.com
86,Elk USA,60,3.6,81132,Del Norte,https://trustpilot.com/review/elkusa.com
87,Crateful,37,3.6,90031,Los Angeles,https://trustpilot.com/review/www.eatcrateful.com
88,Smarty Pants,1,3.6,98108,Seattle,https://trustpilot.com/review/smartypantsseattle.com
89,TuckEat,3,3.5,27601,Raleigh ,https://trustpilot.com/review/tuckeat.com
110,Waffle House,23,3.4,30071,Norcross,https://trustpilot.com/review/www.wafflehouse.com
111,Prince Of India,4,3.4,,,https://trustpilot.com/review/www.prince-of-india.com
112,Barx Parx,2,3.4,89123,Las Vegas,https://trustpilot.com/review/www.barxparx.com
113,Time To Eat Delivery,5,3.3,93651,Prather,https://trustpilot.com/review/timetoeatdelivery.com
114,Sandy's Chill Spot Ice Cream & Seafood Restaurant Bellingham,1,3.3,2019,Bellingham,https://trustpilot.com/review/sandysicecream.com
115,Redesign Bk,52,3.2,,,https://trustpilot.com/review/redesign.bk.com
116,BeerRightNow.com,9,3.2,10003,Manhattan,https://trustpilot.com/review/beerrightnow.com
117,Panini Kabob Grill,1,3.2,92660,Costa Mesa,https://trustpilot.com/review/paninikabobgrill.com
118,Farm Fresh To You,3127,3.1,95607,Capay,https://trustpilot.com/review/farmfreshtoyou.com
119,Full Circle,14,3.1,,,https://trustpilot.com/review/fullcircle.com
120,Cheddars,13,3.1,,,https://trustpilot.com/review/www.cheddars.com
121,Spice Enthusiast,6,3.1,60641,Chicago,https://trustpilot.com/review/spiceenthusiast.com
122,The Tollemache Arms,3,3.1,,,https://trustpilot.com/review/tollemacheharrington.com
123,Wild Alaska Salmon & Seafood,98,2.9,,,https://trustpilot.com/review/wildalaskasalmonandseafood.com
124,Carrabbas,9,2.9,,,https://trustpilot.com/review/www.carrabbas.com
125,Shanghai Hotel Holland,2,2.9,,,https://trustpilot.com/review/www.chinahotelholland.com
126,Starbucks,1034,2.7,,,https://trustpilot.com/review/www.starbucks.com
127,FreshDirect,24,2.6,,,https://trustpilot.com/review/www.freshdirect.com
128,Seamless,1172,2.5,,,https://trustpilot.com/review/www.seamless.com
129,MC Donalds,459,2.5,,,https://trustpilot.com/review/mc-donalds.com
130,WebstaurantStore,272,2.5,,,https://trustpilot.com/review/webstaurantstore.com
131,Mr. Delivery,75,2.5,48911,Lansing,https://trustpilot.com/review/mrdelivery.com
132,Restaurant.com,39,2.3,,,https://trustpilot.com/review/www.restaurant.com
133,YLighting,9,2.3,,,https://trustpilot.com/review/www.ylighting.com
134,Goldbelly,154,2.2,94107,San Francisco,https://trustpilot.com/review/www.goldbelly.com
135,TigerChef.com,67,2.1,10901,Suffern,https://trustpilot.com/review/www.tigerchef.com
136,KFC,882,2,,,https://trustpilot.com/review/www.kfc.com
137,McDonalds,212,2,,,https://trustpilot.com/review/www.macdonalds.com
138,Grubhub,9901,1.8,,,https://trustpilot.com/review/www.grubhub.com
139,P.F. Chang's,188,1.8,,,https://trustpilot.com/review/www.pfchangs.com
140,ReStockIt.com,24,1.7,,,https://trustpilot.com/review/www.restockit.com
141,Yelp,2227,1.6,,,https://trustpilot.com/review/www.yelp.com
142,Nutrisystem,1916,1.6,,,https://trustpilot.com/review/nutrisystem.com
143,delivery.com,1759,1.5,,,https://trustpilot.com/review/delivery.com
